38460.0	48080.0	4.8799999999999999	N	A.1.3     	H   
48080.0	96160.0	4.0	N	A.1.3     	H   
96160.0	144240.0	3.52	N	A.1.3     	H   
144240.0	192320.0	3.2000000000000002	N	A.1.3     	H   
192320.0	384650.0	2.3999999999999999	N	A.1.3     	H   
384650.0	576970.0	2.1600000000000001	N	A.1.3     	H   
576970.0	769300.0	2.0	N	A.1.3     	H   
769300.0	961620.0	1.9199999999999999	N	A.1.3     	H   
961620.0	1923240.0	1.3600000000000001	N	A.1.3     	H   
1923240.0	9999999999999.0	1.2	S	A.1.3     	H   
-1.0	4510.0	8.0	N	A.1.4     	H   
4510.0	6010.0	7.5	N	A.1.4     	H   
6010.0	9020.0	7.0	N	A.1.4     	H   
9020.0	12020.0	6.7000000000000002	N	A.1.4     	H   
12020.0	18030.0	6.4000000000000004	N	A.1.4     	H   
18030.0	24040.0	6.25	N	A.1.4     	H   
24040.0	30050.0	6.0999999999999996	N	A.1.4     	H   
30050.0	36060.0	5.9500000000000002	N	A.1.4     	H   
36060.0	42070.0	5.7999999999999998	N	A.1.4     	H   
42070.0	48080.0	5.7000000000000002	N	A.1.4     	H   
51090.0	60100.0	5.5999999999999996	N	A.1.4     	H   
60100.0	72120.0	5.5	N	A.1.4     	H   
75130.0	90150.0	5.4000000000000004	N	A.1.4     	H   
90150.0	120200.0	5.25	N	A.1.4     	H   
120200.0	180300.0	5.0	N	A.1.4     	H   
180300.0	240400.0	4.75	N	A.1.4     	H   
240400.0	300510.0	4.5	N	A.1.4     	H   
300510.0	390660.0	4.25	N	A.1.4     	H   
390660.0	480810.0	4.0	N	A.1.4     	H   
480810.0	601010.0	3.75	N	A.1.4     	H   
601010.0	751270.0	3.5	N	A.1.4     	H   
