contrato_ant	Contracte Ant.	fases	contrato_ant
colegiados.cta_banco_dom	Compte Banc Domiciliació	colegiados	cta_banco_dom
colegiados.fecha_alta	Data d´Alta	colegiados	fecha_alta
colegiados.edad	Edad	colegiados	edad
colegiados.pestanya_premaat	PREMAAT	colegiados	premaat_pestanya
colegiados.campo_colegio	Ha d'especificar un valor en el camp col.lege	colegiados	campo_colegio
colegiados.f_titulacion	Data Títol	colegiados	f_titulacion
colegiados.suma_porcentajes	La suma de percentatges de participació en una societat no pot ser major que cent.	colegiados	suma_porcentajes
colegiados.altas_bajas_sit	Altes, Baixes i Situacions	colegiados	altas_bajas_sit
Nº Colegiado	Nom Col.legiat	colegiados	n_colegiado
colegiados.tratamiento	Tractament	colegiados	tratamiento
colegiados.alta_exceso	Alta exces	colegiados	alta_exceso
colegiados.telefono_movil2	Telèfon Mòbil 2	colegiados	telefono_movil2
colegiados.campo_codigo_poblacion	Ha d'especificar un valor en el camp codi població	colegiados	campo_codigo_poblacion
colegiados.tipo_poliza	Tipo Pòlissa	colegiados	tipo_poliza
colegiados.cambiar_imagen_activa	?No pot canviar el tipus d'una imatge activa.	colegiados	cambiar_imagen_activa
colegiados.banco_trans	Banc Transferències	colegiados	banco_trans
colegiados.agrupaciones_f_final_rango	No es poden duplicar agrupacions amb data fin dins del rang de cap altra.	colegiados	agrupaciones_f_ini_final
colegiados.visible_web	Visible en la Web	colegiados	visible_web
colegiados.datos_accidentes	Dades Accidents	colegiados	datos_accidentes
colegiados.cesion_datos	Gestió de dades	colegiados	cesion_datos
colegiados.dom_activo	Domicili Actiu	colegiados	dom_activo
colegiados.retencion_iva	Retenció IVA/IGIC	colegiados	retencion_iva
colegiados.seguro_accidente	Segur Accidents	colegiados	seguro_accidente
colegiados.seguro_rc	Segur de Resposabilitat Civil (S. R. C.)	colegiados	seguro_rc
colegiados.seguro_tasacion	Segur tasacion	colegiados	seguro_tasacion
colegiados.ret_voluntaria	Retenció Voluntària	colegiados	ret_voluntaria
colegiados.seguros	Assegurances	colegiados	seguros
colegiados.activo_parametro	Cognom / Societat actiu al teclejar	colegiados	activo_parametro
colegiados.tipo_seguro	Tipus	colegiados	tipo_seguro
colegiados.datos_col	Dades Col.legials	colegiados	datos_colegiales
colegiados.campo_pais_nombre	Deu especificar un valor per al camp nom Pais	colegiados	campo_pais_nombre
colegiados.servicios	Servicis	colegiados	servicios
colegiados.organismo	Organisme	colegiados	organismo
colegiados.sit_profesional	Situació Professional	colegiados	sit_profesional
colegiados.n_consejo	Consell	colegiados	n_consejo
colegiados.complemento1	Complement 1	colegiados	complemento1
colegiados.dom_activa_fiscal	Domicili Actiu Fiscal	colegiados	dom_activa_fiscal
colegiados.datos_segur	DADES ASSEGURANÇA	colegiados	datos_segur
colegiados.domicilio_poblacion	Amb domicili en la població	colegiados	domicilio_poblacion
colegiados.poblacion_fiscal_activa	Població Fiscal Actiu	colegiados	poblacion_fiscal_activa
colegiados.demarcacion	Demarcació	colegiados	demarcacion
colegiados.registro_sicedades	Registre Societats	colegiados	registro_sociedades
colegiados.colegiado_consejo	Consell	colegiados	colegiado_consejo
colegiados.baja	Baixa	colegiados	baja
colegiados.fecha_nacimiento	Data Naiximent	colegiados	fecha_nacimiento
colegiados.companyia	Companyia	colegiados	companyia
colegiados.centro	Centre	colegiados	centro
colegiados.listado_mails	Llistat Emails	colegiados	listado_mails
colegiados.ult_num_fac	Últim Nº Factura	colegiados	ult_num_fac
colegiados.campo_apellido	Ha d'especificar un valor en el camp cognom	colegiados	campo_apellido
colegiados.pagos	Pagaments Col.legiat	colegiados	pagos
colegiados.listado_telefonos	Llistas Telèfons	colegiados	listado_telefonos
colegiados.orientaciones_profesionales	Orientacions professionals	colegiados	situaciones_profesionales
colegiados.poblacion	Població	colegiados	poblacion
colegiados.agrupaciones_f_ini_iguales	No es poden duplicar agrupacions amb data inici iguals.	colegiados	agrupaciones_f_ini_iguales
