1000.0	2000.0	1.95	N	1.6.1     	H   
2000.0	3000.0	1.8300000000000001	N	1.6.1     	H   
3000.0	4000.0	1.74	N	1.6.1     	H   
4000.0	6000.0	1.6799999999999999	N	1.6.1     	H   
6000.0	8000.0	1.6200000000000001	N	1.6.1     	H   
8000.0	10000.0	1.5600000000000001	N	1.6.1     	H   
10000.0	12000.0	1.53	N	1.6.1     	H   
12000.0	14000.0	1.5	N	1.6.1     	H   
14000.0	16000.0	1.47	N	1.6.1     	H   
16000.0	18000.0	1.4399999999999999	N	1.6.1     	H   
18000.0	20000.0	1.4099999999999999	N	1.6.1     	H   
20000.0	25000.0	1.3799999999999999	N	1.6.1     	H   
25000.0	30000.0	1.3500000000000001	N	1.6.1     	H   
30000.0	35000.0	1.3200000000000001	N	1.6.1     	H   
35000.0	40000.0	1.29	N	1.6.1     	H   
40000.0	50000.0	1.26	N	1.6.1     	H   
50000.0	65000.0	1.23	N	1.6.1     	H   
65000.0	80000.0	1.2	N	1.6.1     	H   
80000.0	100000.0	1.1699999999999999	N	1.6.1     	H   
100000.0	120000.0	1.1399999999999999	N	1.6.1     	H   
120000.0	140000.0	1.1100000000000001	N	1.6.1     	H   
140000.0	180000.0	1.0800000000000001	N	1.6.1     	H   
180000.0	200000.0	1.05	N	1.6.1     	H   
200000.0	999999999.0	1.02	S	1.6.1     	H   
-1.0	50.0	3.0	N	1.6.2     	H   
50.0	100.0	2.8500000000000001	N	1.6.2     	H   
100.0	200.0	2.6099999999999999	N	1.6.2     	H   
200.0	400.0	2.3999999999999999	N	1.6.2     	H   
400.0	600.0	2.25	N	1.6.2     	H   
600.0	800.0	2.1499999999999999	N	1.6.2     	H   
800.0	1000.0	2.0699999999999998	N	1.6.2     	H   
1000.0	2000.0	1.95	N	1.6.2     	H   
2000.0	3000.0	1.8300000000000001	N	1.6.2     	H   
3000.0	4000.0	1.74	N	1.6.2     	H   
4000.0	6000.0	1.6799999999999999	N	1.6.2     	H   
6000.0	8000.0	1.6200000000000001	N	1.6.2     	H   
8000.0	10000.0	1.5600000000000001	N	1.6.2     	H   
10000.0	12000.0	1.53	N	1.6.2     	H   
12000.0	14000.0	1.5	N	1.6.2     	H   
14000.0	16000.0	1.47	N	1.6.2     	H   
16000.0	18000.0	1.4399999999999999	N	1.6.2     	H   
18000.0	20000.0	1.4099999999999999	N	1.6.2     	H   
20000.0	25000.0	1.3799999999999999	N	1.6.2     	H   
25000.0	30000.0	1.3500000000000001	N	1.6.2     	H   
30000.0	35000.0	1.3200000000000001	N	1.6.2     	H   
35000.0	40000.0	1.29	N	1.6.2     	H   
40000.0	50000.0	1.26	N	1.6.2     	H   
50000.0	65000.0	1.23	N	1.6.2     	H   
65000.0	80000.0	1.2	N	1.6.2     	H   
80000.0	100000.0	1.1699999999999999	N	1.6.2     	H   
100000.0	120000.0	1.1399999999999999	N	1.6.2     	H   
120000.0	140000.0	1.1100000000000001	N	1.6.2     	H   
140000.0	180000.0	1.0800000000000001	N	1.6.2     	H   
180000.0	200000.0	1.05	N	1.6.2     	H   
200000.0	999999999.0	1.02	S	1.6.2     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.1     	H   
4510.0	6010.0	2.25	N	2.4.1     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.1     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.1     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.1     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.1     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.1     	H   
30050.0	36060.0	1.78	N	2.4.1     	H   
36060.0	42070.0	1.74	N	2.4.1     	H   
42070.0	51090.0	1.71	N	2.4.1     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.1     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.1     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.1     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.1     	H   
120200.0	180300.0	1.5	N	2.4.1     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.1     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.1     	H   
300510.0	390660.0	1.27	N	2.4.1     	H   
390660.0	480810.0	1.2	N	2.4.1     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.1     	H   
601010.0	751270.0	1.05	N	2.4.1     	H   
751270.0	901520.0	1.01	N	2.4.1     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.1     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.1     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.1     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.1     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.1     	H   
2404050.0	2704550.0	.75	N	2.4.1     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.1     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.1     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.1     	H   
4207080.0	5108600.0	.63	N	2.4.1     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.1     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.1     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.2     	H   
4510.0	6010.0	2.25	N	2.4.2     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.2     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.2     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.2     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.2     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.2     	H   
30050.0	36060.0	1.78	N	2.4.2     	H   
36060.0	42070.0	1.74	N	2.4.2     	H   
42070.0	51090.0	1.71	N	2.4.2     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.2     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.2     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.2     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.2     	H   
120200.0	180300.0	1.5	N	2.4.2     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.2     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.2     	H   
300510.0	390660.0	1.27	N	2.4.2     	H   
390660.0	480810.0	1.2	N	2.4.2     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.2     	H   
601010.0	751270.0	1.05	N	2.4.2     	H   
751270.0	901520.0	1.01	N	2.4.2     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.2     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.2     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.2     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.2     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.2     	H   
2404050.0	2704550.0	.75	N	2.4.2     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.2     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.2     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.2     	H   
4207080.0	5108600.0	.63	N	2.4.2     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.2     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.2     	H   
-1.0	3010.0	3.8999999999999999	N	5.1       	H   
3010.0	6010.0	3.7200000000000002	N	5.1       	H   
6010.0	12020.0	3.3999999999999999	N	5.1       	H   
12020.0	24040.0	3.1200000000000001	N	5.1       	H   
24040.0	36060.0	2.9399999999999999	N	5.1       	H   
36060.0	48080.0	2.8199999999999998	N	5.1       	H   
48080.0	60100.0	2.7000000000000002	N	5.1       	H   
60100.0	120200.0	2.5499999999999998	N	5.1       	H   
120200.0	180300.0	2.3799999999999999	N	5.1       	H   
180300.0	240400.0	2.2799999999999998	N	5.1       	H   
240400.0	360610.0	2.1899999999999999	N	5.1       	H   
360610.0	480810.0	2.1099999999999999	N	5.1       	H   
480810.0	601010.0	2.04	N	5.1       	H   
601010.0	721210.0	1.99	N	5.1       	H   
721210.0	841420.0	1.96	N	5.1       	H   
841420.0	961620.0	1.9199999999999999	N	5.1       	H   
